Purchase Intention,id,text
undefined,102,Oppo has a clever idea for eliminating the notch without removing functionality  http:// bit.ly/2BH5klO    #apple  #iphone -x #mobile
undefined,103,Just saw this on eBay : Apple  iPhone X  a1901 256GB Smartphone GSM Unlocked  http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?ff3=2&toolid=10039&campid=5338330040&item=152924515886&vectorid=229466&lgeo=1   … pic.twitter.com/9uUd2x46O4
undefined,105,@ AppleSupport  my  iPhone X  keeps staying on a black screen for a few minutes...then all of a sudden will work again. Any advice?
undefined,106,The best  iPhone X  cases – CNET  https://www. worldnewsfacts.com/the-best-iphon e-x-cases-cnet/   … pic.twitter.com/tf8aiRvkvI
undefined,107,"Apple  iPhone X , Fully Unlocked 5.8"", 256 GB - Space Gray -  http:// sounds.890m.com/apple-iphone-x -fully-unlocked-5-8-256-gb-space-gray/   … pic.twitter.com/4hymQD9x63"
no,108,The camera on an  iPhone X  is fucking horrific
yes,109,I'm so buzzing that I finally get an  iPhone X  tomorrow 
yes,110,Buy  iPhone x  for me
undefined,111,The best  iPhone X  cases## CNET   https:// goo.gl/bqXDvY    @DavidCarnoy pic.twitter.com/6PFUKEfv9u
yes,112,I liked a @YouTube  video  http:// youtu.be/cMIz1LCq5Fk?a     iPhone X  Cinematic - Toronto Canada 4K
undefined,113,I have no data to back this up but I think the  iphone x  is the slipperiest phone in existence. every time i look away for one second and it's slipped onto the ground. it's like a little flat slippery eel.
no,115,"Got my Pixel 3 finally. So here is the verdict: 1) It's just much smarter than my  iPhone X  (I think this one is so important, yet overlooked)  2) The camera is ridiculous 3) It's not as smooth as an iPhone and the Apple eco-system is awesome 4) It's just enjoyable to use!"
undefined,116,"# window  #squirrel  #cardinal  #birds  #mushroom  #northernliberties  #phl  #philly  #phillystreets  #iphonex  #iphoneography  #lightroom @Northern Liberties, Philadelphia  https://www. instagram.com/p/Bqx_6C0nIAw/ ?utm_source=ig_twitter_share&igshid=e9wplh737ia8   …"
no,117,"Seriously considering trading in my  iPhone X  for a flip phone, this face recognition crap is creeping me out! #bigbrother  #iPhoneXR"
no,118,"Apple no longer sells the  iPhone X , but that doesn't mean you shouldn't protect yours if you have one.
 https:// cnet.co/2DS00h2  "
undefined,119,Here's your chance to Win  iPhone X  offered at FaceOff Gifts's Annual iPhone Giveaway @republic_lab  - http:// bit.ly/iphone-giveawa y-live   …
no,120,I liked a @YouTube  video  http:// youtu.be/sQldXpPM-SE?a    SMASHING THE  IPHONE X  IN PUBLIC PRANK 4!
undefined,121,iPhone X  camera made me forget I look bummy    pic.twitter.com/XH1rPr2c6A
undefined,124,Just got the  iPhone X  Max and it’s way too big for my hands 
undefined,125,Walking around with a naked  iPhone X  
yes,126,omg we live for  iphone x  quality hshshsh  pic.twitter.com/4LIPDpjBuf
undefined,127,IPhone X   pic.twitter.com/Tadt39ZkGT
yes,128,The screen on the  iPhone X  is amazing! Thank goodness I went with the OG  iPhone X  instead of the iPhone XR like I originally planned. That blue color was tempting though. Lol
no,129,i have an  iphone X  u silly bitch
undefined,130,Check out what I found. Ultra Slim Frosted Case Shockproof Hardshell Cover Case for  iPhone X  - Black  https:// ebay.us/4609XX    via @eBay_UK
undefined,132,I feel like everyone has an  iPhone X  or Xs now lol
undefined,134,"Tesla,  iPhone X , Apple Watch and suede shoes"
yes,135,"The biggest struggle with having an  iPhone X  is how easy it is to screenshot things, I’ve only had it for about a month and I’ve screenshotted too many people’s Snapchat and Instagram stories on accident. "
undefined,136,"Greetings everyone! Time for #YOUROC60min ! Now, imagine your OC, but they dropped their  iPhone X  ..."
undefined,137,I can’t even do it cause I have an  iPhone X  
no,138,"@ AppleSupport  #iphonex  With calls on my phone I can't hear them the other end unless it's on speaker. Every time I take this issue to apple n they just throw a new  iPhoneX . Right now, I am with 3rd replacement phone. What if the warranty ends ? #Sham"
no,139,BIG MONEY I want an  iphone x    but money is money so hmmmm
undefined,140,IPhone X  Forsale BrandNew With AnyBody   pic.twitter.com/pfHmiDQOVV
no,141,Just got the  iPhone X  compliments of Verizon’s BF. Sending texts with my personal emoji to ANYONE I know. This won’t end well.
undefined,142,"Reunited an  iPhoneX  with its owner today (found it on the subway yesterday and I brought it home, contacted the emergency #, met up with owner today) and she gave me a card with $20 inside!"
undefined,143,"Huawei P20 Lite, a pathetic try to be  iPhone X   http://www. poandpo.com/small-devices- for-fun/huawei-p20-lite-a-pathetic-try-to-be-iphone-x-672018299.amp   …  #gadgets  #electronics  #computers  #phones  #audio  #trending   http://www. poandpo.com  "
yes,144,the back of the lens rotates - there is a small set screw and you rotate it. 'V' for vertical  iphone X  and 1.33x for the other 
undefined,145,Check out what I just added to my closet on Poshmark:  Iphone X  case Ideal of Sweden.  https:// poshmark.com/listing/5c0063 fd035cf1b2212707e8?utm_campaign=referral_code%3DXOBLONDYNECZKA&utm_content=feature%3Dsh_li_cl_ios%26rfuid%3D5978083531baf2d58c0be24e%26ext_trk%3Dbranch&utm_source=tw_sh   …  via @poshmarkapp  #shopmycloset
undefined,146,Rt and dm me If you want your 10 dollars btc to be used to get you  iPhone X  and iPhone Xsmas for this December ...ends on the 15 of December
undefined,147,Check out USB Cord Cable Braided Light Fast Charging For Apple  iPhone X  XS MAX XR 8 7 6 5 #McDodo   https:// ebay.us/8bZzGr    via @eBay
yes,148,Want to win SENA Cases iPhone Xs Giveaway Enter to win: 1st Prize: iPhone X ? I just entered to win and you can too.  http:// gvwy.io/emu3ld0  
no,149,Everything about #iOS  is #shit ! Even it’s #haptics    #dinosaur  thugnology #applepay  for  iPhone X  #sux  #UX  
undefined,150,"Hands-On With Caviar's $4,400 'Tesla' Solar-Charging  iPhone X   https://www. macrumors.com/2018/11/27/cav iar-solar-charging-iphone-x/?utm_source=dlvr.it&utm_medium=twitter   …"
undefined,151,It’s just a standard  iPhone X . I gotta open it when I get off to see what it’s hittin on.
yes,152,time to get the  iphone x
undefined,153,I can’t wait until my  iPhone X  is done upgrading. 
undefined,154,"Guys , how do I switch off the  iPhone X  ?"
undefined,155,people who post  iphone x  screenshots ELECTIC CHAIR
undefined,156,Early morning views #sunrise  #sky  #skyline  #ocean  #iphonex  #shotoniphone  #iphoneography  #southwest  #swa  #windowseat  #lax  #takeoff   https://www. instagram.com/p/Bqx8c0KnE3W/ ?utm_source=ig_twitter_share&igshid=1njdfwzhun0w1   …
undefined,157,"# iphonecase  #iphone6case  #iphoneSEcase  #samsung  #iphone  #phonecase  #iphone7case  #iphone7pluscase   https:// ift.tt/2ShDp1x    Mathematics iPhone 8 Case Math Teacher Gift, iPhone 6S Case - Mathematical Formulas  iPhone X  Case Math iPhone SE Case iPhone 7 Case by zoobizu  pic.twitter.com/OZXSuleVOx"
undefined,158,When it’s the holiday season after Apple releases the new IPhone XS so your  IPhone X  stops working
yes,159,I have to wait until Monday to get the  iPhone X  
yes,160,Vem  iPhone x
no,161,I want a new phone I’m sick of this  iPhone X
undefined,162,"Fashion iPhone Marble Case With Stand &Finger Grip
Now with the sizes for  iPhone X , iPhone XS Max and iPhone XR!
 https:// buff.ly/2ShlSX5   
Share and tag a friend who needs this!
#iphonecase  #iPhoneX  #iPhoneXSMax  #iPhoneXR  #phonecase  #phonecases  #ChristmasGift  #christmasgiftideas pic.twitter.com/LrNI8Ssovs"
undefined,163,@ thinkorswim   Q.  Every time i launch the ToS app on my  iPhone X  iOS 12.1.1 this week it acts as if it is the first time i ever used it.  i have to set it up over and over and over every single time.  is this a known issue ?  it is a major pain.
undefined,164,"That's an awesome Apple setup, do you agree ? 
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
#apple  #iphone  #applewatch  #iphonex  #apples  #applemusic  #applepie  #applestore  #appleiphone  #applegreen …  https://www. instagram.com/p/Bqx7lqHA_lO/ ?utm_source=ig_twitter_share&igshid=1d9qmvhlrun1g   …"
undefined,165,Where can I fix a  iPhone X  screen? Besides Apple obviously.
undefined,166,IPHONE X  256GB -GIVEAWAY NOVEMBER 2018 #giveaway  #win https:// kingsumo.com/g/lqhepv/iphon e-x-256gb-giveaway-november-2018/1k8lw2n   …
yes,167,Im feeling very behind the times with my iPhone 7 right now  I didn’t know these  iPhone X ’s existed
yes,168,My  iPhone X  came in 
yes,169,"In need of an  iPhone X , for business."
undefined,170,DistinctInk Case for  iPhone X /XS (NOT Max) - Custom Black OtterBox Symmetry - Florida State Flag - US State Flag - Vacation Resort Florida  https:// mashup.vacationresortflorida.com/2018/11/29/dis tinctink-case-for-iphone-x-xs-not-max-custom-black-otterbox-symmetry-florida-state-flag-us-state-flag/   …
undefined,171,Check out Hybrid Shockproof Clear Case For  Iphone X  Glitter Sparkle Hard Soft Phone Cover    https:// ebay.us/O08Oz7    via @eBay
undefined,172,"At my age I don't have a car, I don't use  iPhone X , I don't have a house, I don't have 20k in my account, I don't even have bae. If I no get all these things, wetin I gain?"
undefined,175,Same to me .. sometimes Audio Rcorder dont record on  iphone X  11.3.1. Blinking icon is showing that phonecall is being recorded but when we finish there is no any call in file list :( have to restart phone to work it again..still no fix :(
yes,176,"Best Cyber Week Deals on iPhone XS, iPhone XR,  iPhone X , and iPhone 8  http:// dlvr.it/QsRGhP   pic.twitter.com/0W6RdfVpfm"
no,177,"Stupidity is when you buy an  iPhone X  max  then when it's faulty, no reasonable person can help fix it in Nigeria."
undefined,178,"Hey @Apple , running 12.1.1 on  iPhoneX , when I swipe down to extend a notification to read it and a new one comes in very soon after, the view changes to showing the new one.  This appears to be a very annoying bug."
yes,180,The  iPhone X  can use an iPhone 7 phone charger.  That’s a win I guess.
undefined,181,sometimes Audio Rcorder dont record on  iphone X  11.3.1. Blinking icon is showing that phonecall is being recorded but when we finish there is no any call in file list :( have to restart phone to work it again..any fix
yes,182,This lady is buying 7  iPhone X ’s Maxes............ OUTRIGHT. Bread
undefined,183,"Boy Who Got His 16-Year-Old Girlfriend A Benz,  iPhone X  Max & iWatch, Arrested In Abuja  https:// fastmoney.ng/boy-who-got-hi s-16-year-old-girlfriend-a-benz-iphone-x-max-iwatch-arrested-in-abuja/   …"
undefined,184,[Discussion] What are your favorite/most useful  iPhone X  tweaks?  https:// redd.it/a1lo1h  
undefined,185,The first picture is washed out and blurred. The second one underexposed and has bad dynamic range. I shot this picture today with my  iPhone X  and everything is clear and sharp  pic.twitter.com/L4npPeggza
undefined,186,# exercisebikeforheavypeople  Malocaos Running Belt Waist Bag Fanny Pack for Women Men kids with Water Bottle Holder Elastic Reflective Lightweight Waterproof Pouch Fit  iPhone X  6 7 8 Plus  http:// dlvr.it/QsRFht   pic.twitter.com/WLM8uCmkE4
yes,187,"Yeah, so far Apple has done a good job with OLED, I haven't read stuff about  iPhone X  or earlier Apple Watch having UI elements stuck. I just hope to see Promotion elsewhere (it might get tough in the Mac with most of them using iGPUs though)."
yes,189,"Today i received a brand new  iphone X  the day after handing in my old smashed one, now i understand why i pay £16 a month insurance "
no,190,iphone x  basically LOL
undefined,191,"Ok Miss  Iphone X , Miss futuristic, NnenTen. We are not worthy o"
undefined,192,Funny how u asking for shyt I paid for I pay ur phone bill an pay for ur  iPhone X  by ur cunt u left ur family for can’t do shyt for u but give u fishy std pussy while I’m pregnant with our second child! Tell ur cunt to buy u new shyt oh wait she won’t cuz she don’t care or love u
undefined,193,"Luxury Ultra Thin Soft Silicone Phone Case For iPhones
 #GadgetRebellion  #iPhone  #iPhoneX  #PhoneCases pic.twitter.com/Rf62QI9GGU"
undefined,194,"I just took a nice picture of you on my  iPhone X , how I send it to you"
yes,197,My  iPhone X  came and I’m so excited! I can’t wait to activate it and make it my own!
yes,198,i got a  iphone x  and gained 100 followers #roadto500k pic.twitter.com/rEFhI3gC8v
,,
undefined,200,i got a  iphone x  and gained 100 followers #roadto500k pic.twitter.com/rEFhI3gC8v
undefined,201,iPhone x  
undefined,202,"According to Apple, the life cycle of an  iPhone X  = 79kg of CO2

747 per hour of flight = 250kg of CO2"
PI,203,They told me to dream big so yeah  iPhone X
undefined,204,I have a used  iPhone X  phone for sale guys for 250k..Negotiable..pls retweet my customers might be on your TL...
PI,205,Stand a chance to win an  iPhoneX  simply click on this link:  http:// sas-autos.com/?link=43316119 3/T5G9y/?sc=1&sc=1&l=1&ppy=4291063   …
undefined,206,Sale - Black Card Pocket For Cell Phone - Free Shipping.  https://www. ebay.com/ulk/itm/352505 375594   …  @eBay   #sale  #shopping  #ThursdayThoughts  #iPhoneX   #onlineshopping  #ThursdayMotivation  #XmasShopping  #Christmas  #GoodFormVIDEO  #LARain
undefined,207,"The #ColorDefense  update version 2.3 is now ""Ready for Sale!"" in the #Apple  #AppStore  and should be ready for download in a few minutes!
#iOS  #iPhoneX  #iPadPro  #AppStoreGames  #DailyNews  #applenews  #iPhoneLife  #Mobilegames  #Toucharcade  #Apps  #AppSpace   http://www. ColorDefense.de  "
undefined,208,"Song Rhythm Tracks on an  iPhone X  - MANAGE TRACKS -
 http:// mvnt.us/m843640     https://www. facebook.com/20176582951129 98/videos/289770801649270/   …"
undefined,209,"Song Rhythm Tracks on an  iPhone X  - MANAGE TRACKS -
 http:// mvnt.us/m843640   pic.twitter.com/rrf1MAwNdJ"
undefined,210,iPhone X   pic.twitter.com/Z18LobN9tk
undefined,211,My girl screen ( IPhone X ) just broke and she didn’t buy a warranty. Said apple is going to do it for free tho since it hasn’t been a year yet. Apple be looking out
PI,212,What's the difference between the  iPhone X  and the  iPhone X  X Max?
No PI,213,"@ siracusa  just listened to Hypercritical #16, whole episode about LCD ghosting and how horrible it is. Doesn’t the OLED ghosting annoy you? It drives me crazy every time I scroll black backgrounds on an  iPhone X {,s}"
PI,214,Same.  IPhone X  won't be bad   https:// twitter.com/AfuaaSam/statu s/1068249266026614784   …
undefined,215,Ive had the iphone 8 plus and  iphone x  and id have to say iphone 8 plus was better. My opinion
No PI,216,“  iphone x  for £150” do i have dickhead written all over me
PI,217,This  iPhone X  still very sexy a year later
undefined,218,I need some new phone cases   #iphoneX  #phonecases  #new
PI,219,"If not I'm using my kidney. Omo what is ferrari, Buggati,  iPhone x  max.... live life to the fullest."
PI,220,iPhone X ’s max for sale
No PI,221,"Someone once told me that.....

But I've never seen any iOS with that turned off....... especially old devices...

I think I once saw it off on someone's  iPhone X ....."
PI,222,screenshots from the  iphone x  look so clapped
undefined,223,Jailbroke first time on 11.3.1 using MP! Great job! Hopefully it’ll work on my wife’s  iPhone X  11.2.6
PI,224,"Looks like u now use an  iPhone x 
Can I have this 6 already"
undefined,225,"Cactus Travel Mug 

  http:// etsy.me/2C8ZcSc    

#craftbuzz  #crafthour 
#iphoneX  #giftsforgirls  #etsymntt  #atsocialmedia  #etsyclub  #brumisbrill"
undefined,226,"# official  discount #code  oneplus 6t

-->  https://www. oneplus.com/it/invite#EP5N 7CIO2CY48   … 

#oneplus  #OnePlus6T  #officialdiscount   #bestsmartphone  #android  #iphonex   #faceunlock  #dashcharge  #neversettle  #wind  #vodafone  #discount  #smartphone   #down  #ota  #xiaomi  #tre  #instagram"
undefined,227,Ever since my Dad got his  iPhone X  he been acting brand new
undefined,228,"Free  iPhone X  offer is a most imported offer. Now apple company provide this chance.This offer little time longer. So,Please try to apply this offer now.When this offer end,You loss a largest offer. So don’t late for this offer.
 https:// goo.gl/QpHHvu  "
No PI,229,Wtf  iPhone X  takes very long to charge
No PI,230,"Tecno Y3 or so had face unlock.
Samsung S3 or S3 had the same features. But because  iPhone X  has it we will not hear word.  https:// twitter.com/Olajvde/status /1068026546504548352   …"
undefined,231,"# Free  #iPhoneX  offer is a most imported offer. Now apple company provide this chance.This offer little time longer. So,Please try to apply this offer now.When this offer end,You loss a largest offer. So don’t late for this offer.
 https:// goo.gl/QpHHvu   pic.twitter.com/aHexONDF8M"
undefined,232,"Need a #wirelesscharger  for the #car  or you stay in GA which is a #handsfree  state. No matter what it is check what we have for you
Baseus 10W Wireless Car Charger ( iPhone X , Xr, Xs, Xs Max) (Samsung Wireless Charging Compatible Devices) w/ Mount Holder
 http://Www. accessoriesmonster.com   pic.twitter.com/S5UDGrov0k"
PI,233,Thanks. I’m interested in the  IPhone X . I was in my local EE shop and they couldn’t match the o2 cost but I would like to stay with you if you can match the price? 64GB phone with 4GB data on 24 month contract for £45 p/m with no upfront cost.
PI,234,# Win  an #iPhone  X with Envirofone this Festive Season  https://www. vouchercloud.com/?did=1988896&r ef=KJ8m0AEmIim4Jh0X3CgyiQ%3D%3D&utm_source=competition&utm_medium=referral&utm_campaign=competition%20sharing   …  via @vouchercloud  #iphonex
undefined,235,B is the  iphone X  aand P must be the Google Pixel 3 XL
undefined,236,"Unique Wood Carved iPhone Case
Now with the sizes for  iPhone X  and iPhone 6/6s/7/8 plus!
 https:// buff.ly/2TSa8vS   
Share and tag a friend who needs it!
#iphonecase  #phonecase  #phonecases  #ChristmasGift  #christmasgiftideas pic.twitter.com/Ed0ooPhkIF"
undefined,237,"27% OFF #sale  #coupon  #selfiestick  @amazon  Yoozon Selfie Stick Bluetooth, Extendable Selfie Stick with Wireless Remote and Tripod Stand Selfie Stick for  iPhone X /iPhone 8/8 Plus/iPhone 7/iPhone 7 Plus/Galaxy S9/S9 Pl...  http:// amzn.to/2rGdmbR  "
undefined,238,React Native &  iPhone X  #reactnative  #feedly   https:// buff.ly/2Rfw6Hl  
No PI,239,Lololol everyone knows the  iPhoneX  was the oversaturated pic that lost in the first round
PI,240,My mum got scammed $200 trying to buy an  iPhone X  for 99cents 
undefined,241,PopSockets Diamond Phone Grip    https://www. ebay.com/ulk/itm/352520 583715   …  @eBay   #sale  #shopping  #ThursdayThoughts  #iPhoneX   #onlineshopping  #ThursdayMotivation  #XmasShopping  #Christmas  #GoodFormVIDEO  #Diamond
undefined,242,"Only $2.39 -Green Adhesive Silicone Card Pouch For Cell Phone - Free Shipping, Only 2Left!!!   https://www. ebay.com/ulk/itm/352477 410578   …  @eBay  #sale  #shopping  #ThursdayThoughts  #iPhoneX   #onlineshopping  #ThursdayMotivation  #XmasShopping  #Christmas  #GoodFormVIDEO  #LARain"
No PI,243,iOS as a whole doesn’t feel that polished for the new iPad Pros and  iPhoneX  generation. iOS 13 needs to deliver on significant UI enchantments and features that would take advantage of true depth camera system. iPad Pro also needs some serious attention in terms of Pro features !
PI,244,"I got a  iPhone X /10 for sale.

It’s a 6 and a 4, but I’m pretty sure u can get something for them."
undefined,245,PopSockets Phone Grip Harry Potter Deathly Hallows   https://www. ebay.com/ulk/itm/352528 999200   …  @eBay   #sale  #shopping  #ThursdayThoughts  #iPhoneX   #onlineshopping  #ThursdayMotivation  #XmasShopping  #Christmas  #GoodFormVIDEO  #FantasticBeasts  #HarryPotter
undefined,246,# games_accessoriesLED  Digital USB Cable For  iPhone X  7 8 Plus 6 Charger 2.1A(Max) Voltage Current Display Charge Data Nylon Braided Cable  pic.twitter.com/aAyOjZwryd
undefined,247,@ PeelHQ  My peel  iPhoneX  case is expanding and not tight on my phone. It's only a month or two old. Not sure why.
PI,248,"IPhone X  
IPhone 6 regular y plus 
Iphone 7/8 regular y plus   
3  25  
Free Shipping 
Retweet   pic.twitter.com/IAyz2yXnZA"
No PI,249,"I'm replying to this from a S9. Trust me when I say that you should look into the OnePlus. I went from a 3T tho the S9, but can't wait to get back to OP 6T when my contract ends.

My sister has the  iPhone X  so I've experienced both. (Pics and Gaming are the main uses)"
No PI,250,Nope bell mts  iPhone X
undefined,251,"protector, tempered, glass, safety, touch, high quality, best, for iPhone, iPhone 7, iPhone 8, iPhone 8plus,  iPhone x :  https:// shop.wholesaleproductspro.com//index.php?rou te=product/product&product_id=59#.XABRGTeAf24.twitter   …"
PI,252,"To the unclaimed Euro millions winner in Skegness, when you find it, could I get an  iPhone x  for Christmas pls?   
If you wanna add some funds on there too, I won't say no! "
undefined,253,"Hey friends, I'm selling this "" iphone x  verizon"" on 5miles. Please share to help me sell faster.   http:// app.5miles.us/CBFfuUv  "
undefined,254,I shot this picture today with my  iPhone X  and the background is clear and sharp  pic.twitter.com/1SNGO8adPF
undefined,255,Refurb OtterBox Pursuit Case for  iPhone X  for $10 + free shipping -  http:// dn.ws/akc9q  
undefined,256,@ snapchatsupport  When will you be updating the app to better support the  iphone X  max? The screen is extremely zoomed in all the time and the camera quality doesn’t look so good.
PI,257,Bro this  iPhone X  camera quality better come tf through next Friday I aint get this phone for nothin 
No PI,258,"I would be onboard with this with one exception. Camera phone quality takes a steep nose dive going from an S9/ iPhone X */Pixel. 

Nokia has some solid cameras but they just can't keep up with the flagships."
undefined,259,the  iPhone X .2 Jaguar
undefined,260,"Seattle out of my bedroom window at 12:41, Nov 29, 2018. Unedited pic taken with  iPhone X  with 2X optical zoom. #seattle  #clouds  #skyline  #cold  #gray  #apple  #iphoneography @West Seattle,…  https://www. instagram.com/p/BqxzSZNFzrs/ ?utm_source=ig_twitter_share&igshid=1rmb4t0f6kws5   …"
undefined,261,5d | 3d | Temper glass | Premium | edge to edge for  iPhone X  | XR | XS | XMS:  https:// shop.wholesaleproductspro.com//Apex-innovati ve-wholesale-price-temperglass-5d-3d-2.5d-protection-cover-lcd-iphone-7-8-9-x-xs-xr-xms-curve-full-samsung-dash-memory-free-saskatoon-sk-canada.php#.XABPzgNhKkU.twitter   …
undefined,262,Free  iPhone X  - Get Free iPhone - Apple iPhone for Free - *Giveaway 2018 from Amazon*  https://www. youtube.com/watch?v=3V7ugZ bI0n8   … pic.twitter.com/6JAyAFGcYJ
undefined,263,iPhone x  software problem. Phone died two days in a row. Hope to save my data before I factory reset it.
PI,264,"Bullshit! Apple Watch, AirPods, iPad Pro,  iPhone X  are all hit products"
PI,265,"letter,thanks fucking  iPhone X"
undefined,266,"Three Points - Job Done   

#acmilan   #ميلان   #milan   #forzamilan  #weareacmilan 
#milandudelange  
#love  #instagood   #tbt  #photooftheday  #instamood  #iphonex  #tweegram  #picoftheday  #igers …  https://www. instagram.com/p/BqxyzgbFRkl/ ?utm_source=ig_twitter_share&igshid=1ka7ppjcwsc6t   …"
PI,267,That’s why it’s and  iPhone X  or iPhone decade. They knew what they were doing.
PI,268, for the  iPhone X !
undefined,269,Selling my white  iPhone X  64GB $700 obo
undefined,270,Anyone else with the  iPhone X  having overheating issues?
undefined,271,"Theme by @tvdMD  
Walls by @AR72014  
Widgets by @ev_ynw  
Badges #selfX  from cydia 
Device #iphoneX .  pic.twitter.com/9XxVTAMvuk"
PI,272,"Yeah, talking to my friend who’s an AT&T manager he was saying I’m looking at $1k for an  iPhone X  or XS because I think I need the 256GB...Since this 128GB is struggling. Wouldn’t even sync to my computer to back it up "
PI,273,10 Friday get here so I can get the  iPhone X  X max.
undefined,274,Latest from Scandy! Volumetric Video on  Iphone X :  http:// ow.ly/vMQW50jPiuR  
PI,275,Hello David! You can find the  iPhone X 's pricing information on the different available Tabs here:  https:// goo.gl/YAfuZy    ^KD
No PI,276,"But instead of giving out just one for example the  iPhone X  max@4,200 which about 400k+ off... Why not use that same fund to reduce prices of other gadgets so more customers will benefit?"
undefined,277,"Like a plague
.
.
.
#fly  #leaf  #decay  #insect  #macro  #closeup  #bugs  #leaves  #nature  #pest  #shotoniphone  #iphonex  #iphonephotography  #adventure  #explore  #backyard  #cool  #california  #flies  #texture  #sanmarino  #littlethings  #details  #wildlife  #perspective  #…  https:// ift.tt/2PaSwHV   pic.twitter.com/tJydIFczNr"
undefined,278,"Manchester Central at night. Beetham Tower Hilton in background. Great Northern Tower on the right. #mcrmetrolink  #tfgm  •
 : #iPhoneX 
•
#IgersMCR  #Manchester  #MCR  #IgersUK  #ThisIsMCR  #TBT  #InstaDaily  #mcr_follow  #InstaGood  #ILoveMCR  #manchesterevenin …  https:// ift.tt/2DScnda   pic.twitter.com/9ILEkNXcZY"
undefined,279,"iPhone X , S7/S6 edge -N3000
Xs max N3000
 You people come and buy phone case  dan Allah or help me RT someone on your TL night need it.  pic.twitter.com/h8cPjvjcc3"
undefined,280,"Either this is fake, or she is using an  iPhone X  Pro Raw Power +++ ... 
No one has that much battery late at night !!! 
/s"
No PI,281,"I don find that 4K Naira  IPhone X  for the Jumia app tire... all for Black Friday.
mehn Na die oh"
undefined,282,"Mine too, mainly because I bought an  iPhone X  so I’d have a great camera when I saw BTS! "
undefined,283,Lord bless the  IPhone X  camera zoom for allowing me to take pictures of the board from the back of the class with clarity
undefined,284,"Guys why are we desperate ? Oh u wanna buy Benz, build a huz,use  iPhone x , carry classic Bae, all in the name of xmass grooving and big Boiz  stuff.....let's wise up guyz cos this life is…  https://www. instagram.com/p/BqxwuKJHVxf/ ?utm_source=ig_twitter_share&igshid=1v589pctil1nu   …"
No PI,285,You're right there. They're even more bonkers! I guess most folk would not carry £1000 in their pocket but that doesn't seem to be a consideration for an #iphoneX
undefined,286,iPhone X
No PI,287,"My daughter's  iPhone X  can't even cast music onto my 75 inch Sony TV.

Apple is just lame. Their gear is for losers who don't understand what they're buying."
PI,288,I really love the  iPhone X  
undefined,289,iPhone X  6S 7 8 Plus Case Non-Slip Hybrid Dual Layer Silicone Shockproof Cover  http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?ff3=2&toolid=10039&campid=5337649399&item=292827959044&vectorid=229466&lgeo=1   …
undefined,290,"I’m a bad man on that  iPhone X  camera... of you know, you know. "
No PI,291,Obviously P is better but they're too fucking stupid and I bet it's the pixel3 or  iPhone X 's
undefined,292,Iphone X  survives Boiling water test.  https:// twitter.com/therealylh/sta tus/1068155074659213312   …
undefined,293,My  iPhone X  is already performing at 99% battery capacity. I only got it a month ago 
PI,294,i’m still getting the “opportunity to win an  iphone x ” hahaha
undefined,295,"Apple resumes  iPhone X  production in face of weak XS sales, report claims  https:// buff.ly/2AfJ6p4   pic.twitter.com/cUpOF7XegZ"
PI,296,"It is real, important, and if you actually want to deal with a new  iPhone X  is good, actually."
undefined,297,"What would you call a guy that uses a girl for ritual without killing her,gets 100 million naira and then buys her an  iPhone X ??  pic.twitter.com/a5S2K7lsEd"
undefined,298,It's  iPhone x  that will snap the picture is Tecno that will upload it 
undefined,299,"Hey friends, I'm selling this "" iphone x  verizon"" on 5miles. Please share to help me sell faster.   http:// app.5miles.us/eCj83xz  "
undefined,300,"iPhone X  Clean Mode was successfully unlocked from iCloud Activation Lock. Now it can be used with new Apple ID.  

Check your device:  http://www. imeipro.info    
Unlock your device:  http://www. remover.tilda.ws   

#iCloud  #Activation  #Unlock  #iOS  #Lock pic.twitter.com/nxT5bvC34F"
